data: x, p, v, rho
-1 -4.26711e+10 4.99181e-10 1
-0.997998 1.78874e+12 -1.88978e-08 1
-0.995996 -5.586e+13 5.34295e-07 1
-0.993994 1.31004e+15 -1.19589e-05 1
-0.991992 -2.62378e+16 0.000230132 1
-0.98999 4.54905e+17 -0.00388507 1
-0.987988 -7.10215e+18 0.0592233 1
-0.985986 4.00279e+24 -104.891 1
-0.983984 -3.25912e+25 2350.26 1
-0.981982 2.77664e+146 -3.99977e+25 7.24703e+97
-0.97998 -1.91961e+151 -4.19816e+25 -4.64921e+102
-0.977978 -nan -nan -nan
-0.975976 -nan -nan -nan
-0.973974 -nan -nan -nan
-0.971972 -nan -nan -nan
-0.96997 -nan -nan -nan
-0.967968 -nan -nan -nan
-0.965966 -nan -nan -nan
-0.963964 -nan -nan -nan
-0.961962 -nan -nan -nan
-0.95996 -nan -nan -nan
-0.957958 -nan -nan -nan
-0.955956 -nan -nan -nan
-0.953954 -nan -nan -nan
-0.951952 -nan -nan -nan
-0.94995 -nan -nan -nan
-0.947948 -nan -nan -nan
-0.945946 -nan -nan -nan
-0.943944 -nan -nan -nan
-0.941942 -nan -nan -nan
-0.93994 -nan -nan -nan
-0.937938 -nan -nan -nan
-0.935936 -nan -nan -nan
-0.933934 -nan -nan -nan
-0.931932 -nan -nan -nan
-0.92993 -nan -nan -nan
-0.927928 -nan -nan -nan
-0.925926 -nan -nan -nan
-0.923924 -nan -nan -nan
-0.921922 -nan -nan -nan
-0.91992 -nan -nan -nan
-0.917918 -nan -nan -nan
-0.915916 -nan -nan -nan
-0.913914 -nan -nan -nan
-0.911912 -nan -nan -nan
-0.90991 -nan -nan -nan
-0.907908 -nan -nan -nan
-0.905906 -nan -nan -nan
-0.903904 -nan -nan -nan
-0.901902 -nan -nan -nan
-0.8999 -nan -nan -nan
-0.897898 -nan -nan -nan
-0.895896 -nan -nan -nan
-0.893894 -nan -nan -nan
-0.891892 -nan -nan -nan
-0.88989 -nan -nan -nan
-0.887888 -nan -nan -nan
-0.885886 -nan -nan -nan
-0.883884 -nan -nan -nan
-0.881882 -nan -nan -nan
-0.87988 -nan -nan -nan
-0.877878 -nan -nan -nan
-0.875876 -nan -nan -nan
-0.873874 -nan -nan -nan
-0.871872 -nan -nan -nan
-0.86987 -nan -nan -nan
-0.867868 -nan -nan -nan
-0.865866 -nan -nan -nan
-0.863864 -nan -nan -nan
-0.861862 -nan -nan -nan
-0.85986 -nan -nan -nan
-0.857858 -nan -nan -nan
-0.855856 -nan -nan -nan
-0.853854 -nan -nan -nan
-0.851852 -nan -nan -nan
-0.84985 -nan -nan -nan
-0.847848 -nan -nan -nan
-0.845846 -nan -nan -nan
-0.843844 -nan -nan -nan
-0.841842 -nan -nan -nan
-0.83984 -nan -nan -nan
-0.837838 -nan -nan -nan
-0.835836 -nan -nan -nan
-0.833834 -nan -nan -nan
-0.831832 -nan -nan -nan
-0.82983 -nan -nan -nan
-0.827828 -nan -nan -nan
-0.825826 -nan -nan -nan
-0.823824 -nan -nan -nan
-0.821822 -nan -nan -nan
-0.81982 -nan -nan -nan
-0.817818 -nan -nan -nan
-0.815816 -nan -nan -nan
-0.813814 -nan -nan -nan
-0.811812 -nan -nan -nan
-0.80981 -nan -nan -nan
-0.807808 -nan -nan -nan
-0.805806 -nan -nan -nan
-0.803804 -nan -nan -nan
-0.801802 -nan -nan -nan
-0.7998 -nan -nan -nan
-0.797798 -nan -nan -nan
-0.795796 -nan -nan -nan
-0.793794 -nan -nan -nan
-0.791792 -nan -nan -nan
-0.78979 -nan -nan -nan
-0.787788 -nan -nan -nan
-0.785786 -nan -nan -nan
-0.783784 -nan -nan -nan
-0.781782 -nan -nan -nan
-0.77978 -nan -nan -nan
-0.777778 -nan -nan -nan
-0.775776 -nan -nan -nan
-0.773774 -nan -nan -nan
-0.771772 -nan -nan -nan
-0.76977 -nan -nan -nan
-0.767768 -nan -nan -nan
-0.765766 -nan -nan -nan
-0.763764 -nan -nan -nan
-0.761762 -nan -nan -nan
-0.75976 -nan -nan -nan
-0.757758 -nan -nan -nan
-0.755756 -nan -nan -nan
-0.753754 -nan -nan -nan
-0.751752 -nan -nan -nan
-0.74975 -nan -nan -nan
-0.747748 -nan -nan -nan
-0.745746 -nan -nan -nan
-0.743744 -nan -nan -nan
-0.741742 -nan -nan -nan
-0.73974 -nan -nan -nan
-0.737738 -nan -nan -nan
-0.735736 -nan -nan -nan
-0.733734 -nan -nan -nan
-0.731732 -nan -nan -nan
-0.72973 -nan -nan -nan
-0.727728 -nan -nan -nan
-0.725726 -nan -nan -nan
-0.723724 -nan -nan -nan
