data: x, p, v, rho
left rarefaction, right shock
-0.5 3 0 1
-0.4999 3 0 1
-0.4998 3 0 1
-0.4997 3 0 1
-0.4996 3 0 1
-0.4995 3 0 1
-0.4994 3 0 1
-0.4993 3 0 1
-0.4992 3 0 1
-0.4991 3 0 1
-0.499 3 0 1
-0.4989 3 0 1
-0.4988 3 0 1
-0.4987 3 0 1
-0.4986 3 0 1
-0.4985 3 0 1
-0.4984 3 0 1
-0.4983 3 0 1
-0.4982 3 0 1
-0.4981 3 0 1
-0.498 3 0 1
-0.4979 3 0 1
-0.4978 3 0 1
-0.4977 3 0 1
-0.4976 3 0 1
-0.4975 3 0 1
-0.4974 3 0 1
-0.4973 3 0 1
-0.4972 3 0 1
-0.4971 3 0 1
-0.497 3 0 1
-0.4969 3 0 1
-0.4968 3 0 1
-0.4967 3 0 1
-0.4966 3 0 1
-0.4965 3 0 1
-0.4964 3 0 1
-0.4963 3 0 1
-0.4962 3 0 1
-0.4961 3 0 1
-0.496 3 0 1
-0.4959 3 0 1
-0.4958 3 0 1
-0.4957 3 0 1
-0.4956 3 0 1
-0.4955 3 0 1
-0.4954 3 0 1
-0.4953 3 0 1
-0.4952 3 0 1
-0.4951 3 0 1
-0.494999 3 0 1
-0.494899 3 0 1
-0.494799 3 0 1
-0.494699 3 0 1
-0.494599 3 0 1
-0.494499 3 0 1
-0.494399 3 0 1
-0.494299 3 0 1
-0.494199 3 0 1
-0.494099 3 0 1
-0.493999 3 0 1
-0.493899 3 0 1
-0.493799 3 0 1
-0.493699 3 0 1
-0.493599 3 0 1
-0.493499 3 0 1
-0.493399 3 0 1
-0.493299 3 0 1
-0.493199 3 0 1
-0.493099 3 0 1
-0.492999 3 0 1
-0.492899 3 0 1
-0.492799 3 0 1
-0.492699 3 0 1
-0.492599 3 0 1
-0.492499 3 0 1
-0.492399 3 0 1
-0.492299 3 0 1
-0.492199 3 0 1
-0.492099 3 0 1
-0.491999 3 0 1
-0.491899 3 0 1
-0.491799 3 0 1
-0.491699 3 0 1
-0.491599 3 0 1
-0.491499 3 0 1
-0.491399 3 0 1
-0.491299 3 0 1
-0.491199 3 0 1
-0.491099 3 0 1
-0.490999 3 0 1
-0.490899 3 0 1
-0.490799 3 0 1
-0.490699 3 0 1
-0.490599 3 0 1
-0.490499 3 0 1
-0.490399 3 0 1
-0.490299 3 0 1
-0.490199 3 0 1
-0.490099 3 0 1
-0.489999 3 0 1
-0.489899 3 0 1
-0.489799 3 0 1
-0.489699 3 0 1
-0.489599 3 0 1
-0.489499 3 0 1
-0.489399 3 0 1
-0.489299 3 0 1
-0.489199 3 0 1
-0.489099 3 0 1
-0.488999 3 0 1
-0.488899 3 0 1
-0.488799 3 0 1
-0.488699 3 0 1
-0.488599 3 0 1
-0.488499 3 0 1
-0.488399 3 0 1
-0.488299 3 0 1
-0.488199 3 0 1
-0.488099 3 0 1
-0.487999 3 0 1
-0.487899 3 0 1
-0.487799 3 0 1
-0.487699 3 0 1
-0.487599 3 0 1
-0.487499 3 0 1
-0.487399 3 0 1
-0.487299 3 0 1
-0.487199 3 0 1
-0.487099 3 0 1
-0.486999 3 0 1
-0.486899 3 0 1
-0.486799 3 0 1
-0.486699 3 0 1
-0.486599 3 0 1
-0.486499 3 0 1
-0.486399 3 0 1
-0.486299 3 0 1
-0.486199 3 0 1
-0.486099 3 0 1
-0.485999 3 0 1
-0.485899 3 0 1
-0.485799 3 0 1
-0.485699 3 0 1
-0.485599 3 0 1
-0.485499 3 0 1
-0.485399 3 0 1
-0.485299 3 0 1
-0.485199 3 0 1
-0.485099 3 0 1
-0.484998 3 0 1
-0.484898 3 0 1
-0.484798 3 0 1
-0.484698 3 0 1
-0.484598 3 0 1
-0.484498 3 0 1
-0.484398 3 0 1
-0.484298 3 0 1
-0.484198 3 0 1
-0.484098 3 0 1
-0.483998 3 0 1
-0.483898 3 0 1
-0.483798 3 0 1
-0.483698 3 0 1
-0.483598 3 0 1
-0.483498 3 0 1
-0.483398 3 0 1
-0.483298 3 0 1
-0.483198 3 0 1
-0.483098 3 0 1
-0.482998 3 0 1
-0.482898 3 0 1
-0.482798 3 0 1
-0.482698 3 0 1
-0.482598 3 0 1
-0.482498 3 0 1
-0.482398 3 0 1
-0.482298 3 0 1
-0.482198 3 0 1
-0.482098 3 0 1
-0.481998 3 0 1
-0.481898 3 0 1
-0.481798 3 0 1
-0.481698 3 0 1
-0.481598 3 0 1
-0.481498 3 0 1
-0.481398 3 0 1
-0.481298 3 0 1
-0.481198 3 0 1
-0.481098 3 0 1
-0.480998 3 0 1
-0.480898 3 0 1
-0.480798 3 0 1
-0.480698 3 0 1
-0.480598 3 0 1
-0.480498 3 0 1
-0.480398 3 0 1
-0.480298 3 0 1
-0.480198 3 0 1
-0.480098 3 0 1
-0.479998 3 0 1
-0.479898 3 0 1
-0.479798 3 0 1
-0.479698 3 0 1
-0.479598 3 0 1
-0.479498 3 0 1
-0.479398 3 0 1
-0.479298 3 0 1
-0.479198 3 0 1
-0.479098 3 0 1
-0.478998 3 0 1
-0.478898 3 0 1
-0.478798 3 0 1
-0.478698 3 0 1
-0.478598 3 0 1
-0.478498 3 0 1
-0.478398 3 0 1
-0.478298 3 0 1
-0.478198 3 0 1
-0.478098 3 0 1
-0.477998 3 0 1
-0.477898 3 0 1
-0.477798 3 0 1
-0.477698 3 0 1
-0.477598 3 0 1
-0.477498 3 0 1
-0.477398 3 0 1
-0.477298 3 0 1
-0.477198 3 0 1
-0.477098 3 0 1
-0.476998 3 0 1
-0.476898 3 0 1
-0.476798 3 0 1
-0.476698 3 0 1
-0.476598 3 0 1
-0.476498 3 0 1
-0.476398 3 0 1
-0.476298 3 0 1
-0.476198 3 0 1
-0.476098 3 0 1
-0.475998 3 0 1
-0.475898 3 0 1
-0.475798 3 0 1
-0.475698 3 0 1
-0.475598 3 0 1
-0.475498 3 0 1
-0.475398 3 0 1
-0.475298 3 0 1
-0.475198 3 0 1
-0.475098 3 0 1
-0.474997 3 0 1
-0.474897 3 0 1
-0.474797 3 0 1
-0.474697 3 0 1
-0.474597 3 0 1
-0.474497 3 0 1
-0.474397 3 0 1
-0.474297 3 0 1
-0.474197 3 0 1
-0.474097 3 0 1
-0.473997 3 0 1
-0.473897 3 0 1
-0.473797 3 0 1
-0.473697 3 0 1
-0.473597 3 0 1
-0.473497 3 0 1
-0.473397 3 0 1
-0.473297 3 0 1
-0.473197 3 0 1
-0.473097 3 0 1
-0.472997 3 0 1
-0.472897 3 0 1
-0.472797 3 0 1
-0.472697 3 0 1
-0.472597 3 0 1
-0.472497 3 0 1
-0.472397 3 0 1
-0.472297 3 0 1
-0.472197 3 0 1
-0.472097 3 0 1
-0.471997 3 0 1
-0.471897 3 0 1
-0.471797 3 0 1
-0.471697 3 0 1
-0.471597 3 0 1
-0.471497 3 0 1
-0.471397 3 0 1
-0.471297 3 0 1
-0.471197 3 0 1
-0.471097 3 0 1
-0.470997 3 0 1
-0.470897 3 0 1
-0.470797 3 0 1
-0.470697 3 0 1
-0.470597 3 0 1
-0.470497 3 0 1
-0.470397 3 0 1
-0.470297 3 0 1
-0.470197 3 0 1
-0.470097 3 0 1
-0.469997 3 0 1
-0.469897 3 0 1
-0.469797 3 0 1
-0.469697 3 0 1
-0.469597 3 0 1
-0.469497 3 0 1
-0.469397 3 0 1
-0.469297 3 0 1
-0.469197 3 0 1
-0.469097 3 0 1
-0.468997 3 0 1
-0.468897 3 0 1
-0.468797 3 0 1
-0.468697 3 0 1
-0.468597 3 0 1
-0.468497 3 0 1
-0.468397 3 0 1
-0.468297 3 0 1
-0.468197 3 0 1
-0.468097 3 0 1
-0.467997 3 0 1
-0.467897 3 0 1
-0.467797 3 0 1
-0.467697 3 0 1
-0.467597 3 0 1
-0.467497 3 0 1
-0.467397 3 0 1
-0.467297 3 0 1
-0.467197 3 0 1
-0.467097 3 0 1
-0.466997 3 0 1
-0.466897 3 0 1
-0.466797 3 0 1
-0.466697 3 0 1
-0.466597 3 0 1
-0.466497 3 0 1
-0.466397 3 0 1
-0.466297 3 0 1
-0.466197 3 0 1
-0.466097 3 0 1
-0.465997 3 0 1
-0.465897 3 0 1
-0.465797 3 0 1
-0.465697 3 0 1
-0.465597 3 0 1
-0.465497 3 0 1
-0.465397 3 0 1
-0.465297 3 0 1
-0.465197 3 0 1
-0.465097 3 0 1
-0.464996 3 0 1
-0.464896 3 0 1
-0.464796 3 0 1
-0.464696 3 0 1
-0.464596 3 0 1
-0.464496 3 0 1
-0.464396 3 0 1
-0.464296 3 0 1
-0.464196 3 0 1
-0.464096 3 0 1
-0.463996 3 0 1
-0.463896 3 0 1
-0.463796 3 0 1
-0.463696 3 0 1
-0.463596 3 0 1
-0.463496 3 0 1
-0.463396 3 0 1
-0.463296 3 0 1
-0.463196 3 0 1
-0.463096 3 0 1
-0.462996 3 0 1
-0.462896 3 0 1
-0.462796 3 0 1
-0.462696 3 0 1
-0.462596 3 0 1
-0.462496 3 0 1
-0.462396 3 0 1
-0.462296 3 0 1
-0.462196 3 0 1
-0.462096 3 0 1
-0.461996 3 0 1
-0.461896 3 0 1
-0.461796 3 0 1
-0.461696 3 0 1
-0.461596 3 0 1
-0.461496 3 0 1
-0.461396 3 0 1
-0.461296 3 0 1
-0.461196 3 0 1
-0.461096 3 0 1
-0.460996 3 0 1
-0.460896 3 0 1
-0.460796 3 0 1
-0.460696 3 0 1
-0.460596 3 0 1
-0.460496 3 0 1
-0.460396 3 0 1
-0.460296 3 0 1
-0.460196 3 0 1
-0.460096 3 0 1
-0.459996 3 0 1
-0.459896 3 0 1
-0.459796 3 0 1
-0.459696 3 0 1
-0.459596 3 0 1
-0.459496 3 0 1
-0.459396 3 0 1
-0.459296 3 0 1
-0.459196 3 0 1
-0.459096 3 0 1
-0.458996 3 0 1
-0.458896 3 0 1
-0.458796 3 0 1
-0.458696 3 0 1
-0.458596 3 0 1
-0.458496 3 0 1
-0.458396 3 0 1
-0.458296 3 0 1
-0.458196 3 0 1
-0.458096 3 0 1
-0.457996 3 0 1
